order_item_id,order_id,product_id,quantity,unit_price
1,1,1,1,1200
2,2,2,1,800
3,3,3,2,150
4,4,4,1,200
5,5,5,2,45
6,6,6,1,70
7,7,7,1,120
8,8,8,1,250
9,9,9,1,
10,10,10,3,10
11,11,11,2,15
12,12,12,1,90
13,13,13,1,110
14,14,14,1,180
15,15,15,1,220
16,16,16,1,900
17,17,17,1,700
18,18,18,1,650
19,19,19,1,130
20,20,20,2,35
21,21,21,1,1000
22,22,22,1,300
23,23,23,2,40
24,24,24,3,12
25,25,25,1,25
26,26,26,2,20
27,27,27,5,5
28,28,28,1,350
29,29,29,1,850
30,30,30,2,8
31,31,31,1,600
32,32,32,1,900
33,33,33,1,100
34,34,34,2,130
35,35,35,1,80
36,36,36,1,90
37,37,37,1,110
38,38,38,1,500
39,39,39,1,450
40,40,40,3,10
41,41,41,1,60
42,42,42,1,150
43,43,43,1,1100
44,44,44,1,750
45,45,45,2,40
46,46,46,1,70
47,47,47,1,
48,48,48,1,400
49,49,49,2,25
50,50,50,2,30
51,51,51,1,18
52,52,52,1,12
53,53,53,2,8
54,54,54,1,15
55,55,55,1,60
56,56,56,1,45
57,57,57,2,35
58,58,58,1,120
59,59,59,1,200
60,60,60,1,1200
61,61,61,1,300
62,62,62,2,100
63,63,63,1,180
64,64,64,1,220
65,65,65,1,300
66,66,66,1,700
67,67,67,1,400
68,68,68,1,250
69,69,69,2,90
70,70,70,3,25
71,71,71,1,20
72,72,72,1,35
73,73,73,2,40
74,74,74,1,85
75,75,75,1,140
76,76,76,2,50
77,77,77,2,55
78,78,78,1,60
79,79,79,1,45
80,80,80,1,70
81,81,81,1,50
82,82,82,1,80
83,83,83,2,25
84,84,84,1,90
85,85,85,1,110
86,86,86,1,180
87,87,87,2,70
88,88,88,1,350
89,89,89,1,300
90,90,90,1,120
91,91,91,3,15
92,92,92,2,25
93,93,93,1,200
94,94,94,1,220
95,95,95,1,130
96,96,96,1,140
97,97,97,1,250
98,98,98,2,60
99,99,99,1,180
100,100,100,1,1500
